timestamp,open,high,low,close,volume
2026-01-12 19:55:00,2.0695,2.0697,2.0678,2.0679,75680.328471
2026-01-12 20:00:00,2.0681,2.0726,2.0659,2.0711,323845.989886
2026-01-12 20:05:00,2.0716,2.0742,2.069,2.069,325500.023203
2026-01-12 20:10:00,2.0691,2.0711,2.068,2.0703,236754.67676
2026-01-12 20:15:00,2.0702,2.0702,2.0642,2.0656,176004.935021
2026-01-12 20:20:00,2.0658,2.0679,2.064,2.0674,133848.793127
2026-01-12 20:25:00,2.0674,2.0696,2.066,2.0688,291365.99985
2026-01-12 20:30:00,2.0687,2.0687,2.0623,2.064,277741.282002
2026-01-12 20:35:00,2.0642,2.0653,2.0623,2.0635,142285.188184
2026-01-12 20:40:00,2.0634,2.0665,2.0625,2.0646,168795.257273
2026-01-12 20:45:00,2.0646,2.0659,2.0611,2.0656,192615.846855
2026-01-12 20:50:00,2.0653,2.0654,2.0616,2.0635,283419.409325
2026-01-12 20:55:00,2.0633,2.0652,2.0613,2.0622,319913.441117
2026-01-12 21:00:00,2.0622,2.0632,2.0523,2.0533,547784.480462
2026-01-12 21:05:00,2.0531,2.0565,2.052,2.0554,234483.013003
2026-01-12 21:10:00,2.0555,2.0584,2.0547,2.0554,196492.003254
2026-01-12 21:15:00,2.0556,2.0573,2.0534,2.054,360265.064542
2026-01-12 21:20:00,2.0541,2.0553,2.0496,2.05,375657.293022
2026-01-12 21:25:00,2.05,2.0553,2.0497,2.0509,821725.620392
2026-01-12 21:30:00,2.0512,2.0517,2.0481,2.0509,285758.08344
2026-01-12 21:35:00,2.0509,2.0515,2.0483,2.0485,311204.531889
2026-01-12 21:40:00,2.0487,2.0497,2.0442,2.0451,329825.322061
2026-01-12 21:45:00,2.045,2.0478,2.0422,2.0433,533380.307847
2026-01-12 21:50:00,2.0436,2.0448,2.0386,2.0397,709454.27877
2026-01-12 21:55:00,2.0397,2.0479,2.038,2.0474,332346.679116
2026-01-12 22:00:00,2.0474,2.0527,2.0474,2.052,784892.136161
2026-01-12 22:05:00,2.0518,2.0588,2.0508,2.0551,471602.445841
2026-01-12 22:10:00,2.0551,2.0561,2.0537,2.0547,323585.436457
2026-01-12 22:15:00,2.0547,2.0547,2.0509,2.0533,402056.135971
2026-01-12 22:20:00,2.0531,2.0551,2.0529,2.0544,176704.959944
2026-01-12 22:25:00,2.0543,2.0557,2.0529,2.0534,122901.843064
2026-01-12 22:30:00,2.0536,2.0555,2.0516,2.055,228803.242499
2026-01-12 22:35:00,2.055,2.055,2.0497,2.0535,93534.538101
2026-01-12 22:40:00,2.0534,2.0544,2.0518,2.0532,130353.582167
2026-01-12 22:45:00,2.0532,2.0533,2.0503,2.0527,119386.674587
2026-01-12 22:50:00,2.0526,2.0528,2.0509,2.0512,149685.843949
2026-01-12 22:55:00,2.0512,2.0528,2.0511,2.052,113338.316006
2026-01-12 23:00:00,2.052,2.0523,2.0471,2.0474,199334.791539
2026-01-12 23:05:00,2.0473,2.0488,2.0433,2.0449,938873.648738
2026-01-12 23:10:00,2.0451,2.0474,2.0442,2.0465,287915.085416
2026-01-12 23:15:00,2.0463,2.0493,2.046,2.0487,133165.4343
2026-01-12 23:20:00,2.0487,2.0522,2.0482,2.0521,500475.942807
2026-01-12 23:25:00,2.0518,2.0563,2.0518,2.0532,158495.089642
2026-01-12 23:30:00,2.0532,2.0551,2.0503,2.0503,110838.814927
2026-01-12 23:35:00,2.0503,2.0525,2.0494,2.0508,102741.568283
2026-01-12 23:40:00,2.0508,2.0525,2.0497,2.0517,84917.921397
2026-01-12 23:45:00,2.0516,2.0528,2.0505,2.0523,81766.769224
2026-01-12 23:50:00,2.0523,2.0534,2.0516,2.052,46789.485203
2026-01-12 23:55:00,2.052,2.0528,2.0514,2.0518,65540.068292
2026-01-13 00:00:00,2.0517,2.0539,2.0506,2.0531,120618.597478
2026-01-13 00:05:00,2.0531,2.0558,2.0517,2.0524,129028.195746
2026-01-13 00:10:00,2.0526,2.0541,2.0498,2.05,220126.58154
2026-01-13 00:15:00,2.0503,2.0525,2.0493,2.0513,76522.692426
2026-01-13 00:20:00,2.0513,2.0566,2.0507,2.0565,134621.346036
2026-01-13 00:25:00,2.0565,2.0585,2.0544,2.0546,181180.706083
2026-01-13 00:30:00,2.0544,2.0575,2.0538,2.0554,74937.170913
2026-01-13 00:35:00,2.0554,2.0571,2.0532,2.0532,77556.439865
2026-01-13 00:40:00,2.0532,2.0535,2.0488,2.0515,125850.461816
2026-01-13 00:45:00,2.0517,2.0545,2.0513,2.0545,98853.379158
2026-01-13 00:50:00,2.0544,2.056,2.0526,2.0558,234999.617166
2026-01-13 00:55:00,2.0557,2.0579,2.0547,2.0569,304243.642974
2026-01-13 01:00:00,2.0569,2.0584,2.0555,2.0566,113765.075212
2026-01-13 01:05:00,2.0564,2.0621,2.0564,2.0595,195128.489634
2026-01-13 01:10:00,2.0594,2.06,2.0583,2.0598,86836.680703
2026-01-13 01:15:00,2.0597,2.0607,2.0573,2.0589,82757.415003
2026-01-13 01:20:00,2.0589,2.0591,2.0564,2.0568,99702.781097
2026-01-13 01:25:00,2.0569,2.0578,2.0533,2.0545,81208.283636
2026-01-13 01:30:00,2.0544,2.0545,2.0501,2.0501,100535.54474
2026-01-13 01:35:00,2.0501,2.0501,2.0473,2.0478,180166.038533
2026-01-13 01:40:00,2.0476,2.0486,2.0455,2.0471,113717.91704
2026-01-13 01:45:00,2.047,2.0497,2.047,2.0488,92057.267016
2026-01-13 01:50:00,2.0488,2.0499,2.048,2.0497,118920.151715
2026-01-13 01:55:00,2.0498,2.0523,2.049,2.0516,189437.614191
2026-01-13 02:00:00,2.0516,2.0579,2.0511,2.0558,115537.557261
2026-01-13 02:05:00,2.0558,2.0578,2.0532,2.054,181205.829512
2026-01-13 02:10:00,2.0541,2.0558,2.0536,2.0548,53219.769227
2026-01-13 02:15:00,2.0548,2.0577,2.0548,2.057,115144.579138
2026-01-13 02:20:00,2.057,2.0584,2.0559,2.0574,48342.921418
2026-01-13 02:25:00,2.0573,2.0581,2.0564,2.0569,54020.460206
2026-01-13 02:30:00,2.0569,2.0576,2.0546,2.0557,167985.555563
2026-01-13 02:35:00,2.0556,2.0567,2.0515,2.052,104430.35843
2026-01-13 02:40:00,2.0518,2.0524,2.0482,2.0486,132073.081778
2026-01-13 02:45:00,2.0485,2.0508,2.0483,2.0502,76721.840198
2026-01-13 02:50:00,2.0503,2.0523,2.0487,2.0522,80723.357171
2026-01-13 02:55:00,2.0522,2.0532,2.0496,2.0499,105005.038031
2026-01-13 03:00:00,2.0498,2.0524,2.0498,2.0504,148403.752321
2026-01-13 03:05:00,2.0506,2.0513,2.0454,2.0462,115633.24359
2026-01-13 03:10:00,2.0463,2.051,2.0463,2.0505,315454.166547
2026-01-13 03:15:00,2.0505,2.0531,2.0505,2.0521,190069.132681
2026-01-13 03:20:00,2.052,2.0565,2.0512,2.0538,169942.695106
2026-01-13 03:25:00,2.0539,2.0542,2.0524,2.0526,80168.739236
2026-01-13 03:30:00,2.0525,2.0539,2.0483,2.0496,308079.066666
2026-01-13 03:35:00,2.0497,2.051,2.0475,2.0476,74849.011749
2026-01-13 03:40:00,2.0478,2.0497,2.0471,2.0489,100095.325803
2026-01-13 03:45:00,2.0489,2.0489,2.0459,2.0474,163436.881792
2026-01-13 03:50:00,2.0476,2.0476,2.045,2.0458,67231.120114
2026-01-13 03:55:00,2.0459,2.0486,2.0459,2.0475,83445.537036
2026-01-13 04:00:00,2.0476,2.0499,2.0474,2.0477,88230.61381
2026-01-13 04:05:00,2.0477,2.05,2.0473,2.0491,83733.520465
2026-01-13 04:10:00,2.0491,2.0508,2.0481,2.05,62286.877923
2026-01-13 04:15:00,2.05,2.054,2.0491,2.0537,168178.206105
2026-01-13 04:20:00,2.0533,2.0566,2.0498,2.05,103032.637069
2026-01-13 04:25:00,2.05,2.0513,2.0485,2.0507,162508.852189
2026-01-13 04:30:00,2.0503,2.0506,2.0482,2.0485,58098.751613
2026-01-13 04:35:00,2.0483,2.0509,2.0475,2.0508,79004.718862
2026-01-13 04:40:00,2.0506,2.0519,2.0495,2.0518,109182.301202
2026-01-13 04:45:00,2.0517,2.0519,2.0489,2.0492,70732.851955
2026-01-13 04:50:00,2.0491,2.0513,2.049,2.0513,83830.926805
2026-01-13 04:55:00,2.0513,2.056,2.0513,2.056,146468.328651
2026-01-13 05:00:00,2.056,2.0614,2.0552,2.059,310140.527876
2026-01-13 05:05:00,2.0589,2.0599,2.0573,2.0588,153393.862043
2026-01-13 05:10:00,2.0586,2.0616,2.0583,2.0611,152008.649144
2026-01-13 05:15:00,2.0612,2.0702,2.0607,2.0701,194114.204435
2026-01-13 05:20:00,2.0701,2.0778,2.0676,2.0721,580354.096445
2026-01-13 05:25:00,2.0722,2.0742,2.0705,2.0714,131933.187113
2026-01-13 05:30:00,2.0712,2.0722,2.0639,2.0643,242891.813859
2026-01-13 05:35:00,2.0647,2.0662,2.0631,2.0638,86765.78268
2026-01-13 05:40:00,2.064,2.0649,2.0625,2.0644,25938.03972
2026-01-13 05:45:00,2.0642,2.0673,2.0632,2.0671,73879.003607
2026-01-13 05:50:00,2.0668,2.0668,2.0602,2.0629,191587.035738
2026-01-13 05:55:00,2.0631,2.0631,2.0603,2.0613,67251.760492
2026-01-13 06:00:00,2.0614,2.0652,2.0603,2.0619,125084.197531
2026-01-13 06:05:00,2.0621,2.0629,2.0584,2.0603,155567.422232
2026-01-13 06:10:00,2.0605,2.0611,2.0577,2.0592,86474.376542
2026-01-13 06:15:00,2.0592,2.0606,2.0578,2.0581,40455.051372
2026-01-13 06:20:00,2.058,2.0606,2.058,2.0597,50461.304656
2026-01-13 06:25:00,2.0598,2.0603,2.0559,2.0559,115941.21336
2026-01-13 06:30:00,2.0562,2.0589,2.0559,2.0578,76206.393421
2026-01-13 06:35:00,2.0577,2.0613,2.0577,2.0613,67006.375653
2026-01-13 06:40:00,2.0612,2.0612,2.0549,2.0552,114557.736499
2026-01-13 06:45:00,2.0552,2.0583,2.0552,2.0579,103009.655161
2026-01-13 06:50:00,2.058,2.0636,2.0576,2.0626,260718.595146
2026-01-13 06:55:00,2.0625,2.0626,2.0604,2.0604,77563.566227
2026-01-13 07:00:00,2.0607,2.0609,2.0575,2.0578,103828.126777
2026-01-13 07:05:00,2.0575,2.0586,2.0554,2.057,82091.076886
2026-01-13 07:10:00,2.0571,2.0579,2.0564,2.0569,124801.130234
2026-01-13 07:15:00,2.0568,2.0571,2.0543,2.0555,88998.872432
2026-01-13 07:20:00,2.0553,2.0558,2.0536,2.0552,84518.35522
2026-01-13 07:25:00,2.0552,2.0561,2.0539,2.0541,44934.093766
2026-01-13 07:30:00,2.054,2.0554,2.0538,2.0552,88046.200272
2026-01-13 07:35:00,2.055,2.0568,2.0546,2.0553,35828.585811
2026-01-13 07:40:00,2.0552,2.0571,2.0547,2.0558,54772.34203
2026-01-13 07:45:00,2.0558,2.056,2.0505,2.0513,91811.60607
2026-01-13 07:50:00,2.0515,2.0534,2.0507,2.0508,60628.86521
2026-01-13 07:55:00,2.0508,2.0511,2.05,2.0511,22945.002092
2026-01-13 08:00:00,2.0509,2.058,2.0509,2.0577,180050.425127
2026-01-13 08:05:00,2.0575,2.0621,2.057,2.0596,51001.641707
2026-01-13 08:10:00,2.0595,2.0596,2.0564,2.0573,50817.012163
2026-01-13 08:15:00,2.0573,2.0581,2.0562,2.0569,25348.515153
2026-01-13 08:20:00,2.0569,2.0576,2.0566,2.0571,20520.121168
2026-01-13 08:25:00,2.057,2.0573,2.0551,2.0557,43822.870054
2026-01-13 08:30:00,2.0556,2.0561,2.0544,2.0558,33586.263968
2026-01-13 08:35:00,2.0565,2.0608,2.0556,2.0603,131002.249671
2026-01-13 08:40:00,2.0602,2.0613,2.0592,2.0612,136346.445075
2026-01-13 08:45:00,2.061,2.0659,2.0606,2.0659,153139.399551
2026-01-13 08:50:00,2.0659,2.067,2.064,2.0645,114300.599196
2026-01-13 08:55:00,2.0645,2.0645,2.0627,2.0634,57537.980924
2026-01-13 09:00:00,2.0634,2.0673,2.0626,2.0664,134476.998556
2026-01-13 09:05:00,2.0663,2.0668,2.0619,2.0627,69735.574385
2026-01-13 09:10:00,2.0623,2.0654,2.0623,2.0653,39413.538725
2026-01-13 09:15:00,2.0654,2.0677,2.063,2.0649,122358.390907
2026-01-13 09:20:00,2.0649,2.0724,2.0648,2.071,263331.118665
2026-01-13 09:25:00,2.0709,2.0709,2.0681,2.07,42577.605145
2026-01-13 09:30:00,2.0699,2.0719,2.0669,2.067,111644.880774
2026-01-13 09:35:00,2.0668,2.0675,2.0638,2.0666,71863.63411
2026-01-13 09:40:00,2.0667,2.0667,2.0571,2.062,252181.34498
2026-01-13 09:45:00,2.0618,2.0655,2.0616,2.0649,130966.751573
2026-01-13 09:50:00,2.0649,2.0657,2.0626,2.0629,32097.147399
2026-01-13 09:55:00,2.0627,2.0635,2.0605,2.0633,42925.206398
2026-01-13 10:00:00,2.0633,2.0667,2.0615,2.0662,66908.751753
2026-01-13 10:05:00,2.0661,2.0677,2.0642,2.0666,74775.01162
2026-01-13 10:10:00,2.0665,2.0673,2.0636,2.0639,97396.873415
2026-01-13 10:15:00,2.0638,2.0643,2.0625,2.0628,100230.430634
2026-01-13 10:20:00,2.063,2.065,2.0621,2.065,65725.656575
2026-01-13 10:25:00,2.0647,2.0647,2.0624,2.0634,47800.20214
2026-01-13 10:30:00,2.0634,2.0639,2.0611,2.0615,41289.863173
2026-01-13 10:35:00,2.0615,2.0625,2.0604,2.0613,41457.874678
2026-01-13 10:40:00,2.0615,2.0615,2.0565,2.0569,114842.040857
2026-01-13 10:45:00,2.057,2.0578,2.056,2.0573,81637.676382
2026-01-13 10:50:00,2.0575,2.0586,2.0567,2.057,118976.855999
2026-01-13 10:55:00,2.057,2.059,2.057,2.0587,99677.318576
2026-01-13 11:00:00,2.0588,2.0589,2.0555,2.0564,112429.901849
2026-01-13 11:05:00,2.0563,2.0582,2.0557,2.0582,86107.522229
2026-01-13 11:10:00,2.0581,2.0599,2.0576,2.0576,64348.195632
2026-01-13 11:15:00,2.0577,2.0597,2.0573,2.0575,66050.4053
2026-01-13 11:20:00,2.0575,2.0612,2.0573,2.0605,73781.066975
2026-01-13 11:25:00,2.0605,2.0615,2.0595,2.0601,69432.804676
2026-01-13 11:30:00,2.0602,2.0608,2.0585,2.0585,107151.01303
2026-01-13 11:35:00,2.0584,2.0612,2.0584,2.0607,83631.314782
2026-01-13 11:40:00,2.0602,2.0606,2.0584,2.0586,55635.707127
2026-01-13 11:45:00,2.0585,2.0594,2.0571,2.0579,130316.22633
2026-01-13 11:50:00,2.0579,2.0593,2.0575,2.0593,47632.210078
2026-01-13 11:55:00,2.0592,2.0613,2.0582,2.0583,166241.806683
2026-01-13 12:00:00,2.0583,2.059,2.0563,2.0566,61080.683384
2026-01-13 12:05:00,2.0565,2.0578,2.0539,2.057,96927.759046
2026-01-13 12:10:00,2.0571,2.0579,2.0546,2.0548,101820.446193
2026-01-13 12:15:00,2.0547,2.0595,2.0544,2.0585,86785.932408
2026-01-13 12:20:00,2.0586,2.0599,2.0584,2.0587,78719.002004
2026-01-13 12:25:00,2.0585,2.0597,2.0568,2.0592,137275.688137
2026-01-13 12:30:00,2.0592,2.0613,2.0591,2.0602,182136.797077
2026-01-13 12:35:00,2.0601,2.0608,2.0593,2.0598,54327.226897
2026-01-13 12:40:00,2.0598,2.0613,2.0594,2.0606,90310.293256
2026-01-13 12:45:00,2.0606,2.0612,2.0595,2.06,50013.808023
2026-01-13 12:50:00,2.06,2.0627,2.0596,2.0616,114429.084501
2026-01-13 12:55:00,2.0617,2.0619,2.0598,2.0616,124151.601706
2026-01-13 13:00:00,2.0615,2.0615,2.0577,2.0586,94022.07428
2026-01-13 13:05:00,2.0586,2.0622,2.0584,2.0604,177518.067687
2026-01-13 13:10:00,2.0605,2.0607,2.0584,2.059,72890.402638
2026-01-13 13:15:00,2.059,2.0595,2.0576,2.0576,95744.912707
2026-01-13 13:20:00,2.058,2.0601,2.0578,2.0595,60710.279849
2026-01-13 13:25:00,2.0594,2.0633,2.0586,2.0627,174705.397713
2026-01-13 13:30:00,2.063,2.0768,2.063,2.0681,2030262.563635
2026-01-13 13:35:00,2.0683,2.0744,2.0635,2.0646,683137.078732
2026-01-13 13:40:00,2.0643,2.07,2.0634,2.0695,749464.20369
2026-01-13 13:45:00,2.0693,2.0717,2.0669,2.0714,824189.519103
2026-01-13 13:50:00,2.0716,2.0716,2.0639,2.069,237550.10578
2026-01-13 13:55:00,2.069,2.069,2.066,2.0666,148609.236586
2026-01-13 14:00:00,2.0665,2.0671,2.0588,2.0632,588321.921591
2026-01-13 14:05:00,2.0635,2.0673,2.0635,2.0673,148195.287155
2026-01-13 14:10:00,2.0673,2.0695,2.0666,2.069,122542.55662
2026-01-13 14:15:00,2.0693,2.076,2.0688,2.0741,280684.358656
2026-01-13 14:20:00,2.0737,2.0812,2.0737,2.0801,299972.489824
2026-01-13 14:25:00,2.0799,2.0837,2.0776,2.0832,493881.628971
2026-01-13 14:30:00,2.0831,2.0875,2.0799,2.086,512340.61704
2026-01-13 14:35:00,2.0861,2.0952,2.086,2.0903,1054420.474014
2026-01-13 14:40:00,2.0905,2.0953,2.087,2.0891,909667.342369
2026-01-13 14:45:00,2.0892,2.0905,2.0802,2.0808,1556898.563744
2026-01-13 14:50:00,2.0804,2.0837,2.0747,2.0755,745423.787403
2026-01-13 14:55:00,2.0751,2.0786,2.0747,2.0759,215451.296228
2026-01-13 15:00:00,2.0759,2.0787,2.0669,2.073,493641.405959
