timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi,macd,macd_signal,macd_hist,bb_middle,bb_std,bb_upper,bb_lower,bb_width,atr,volume_sma,volume_ratio,roc_1,roc_5,momentum,volatility,volatility_ratio,fib_0.236,fib_0.382,fib_0.5,fib_0.618,fib_0.786,support_20,resistance_20
2026-02-07 04:00:00,0.10018,0.10018,0.09851,0.09851,837.31263781,0.097121,0.09691373333333334,0.09457488333333335,0.09851,0.09851,0.09851,46.338383838383855,0.0,0.0,0.0,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.006090752207897676,-0.03167191148106785,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 05:00:00,0.098745,0.098745,0.09791,0.09791,635.733008685,0.097121,0.09691373333333334,0.09457488333333335,0.098185,0.09819846153846154,0.09820399999999999,46.338383838383855,-1.3461538461545519e-05,-7.4786324786364e-06,-5.9829059829091194e-06,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.006090752207897676,-0.03167191148106785,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 06:00:00,0.09731,0.09731,0.09731,0.09731,434.15337956,0.097121,0.09691373333333334,0.09457488333333335,0.09784348729792146,0.09787924593395761,0.09789400213304893,46.338383838383855,-3.575863603615115e-05,-1.9068797871060475e-05,-1.6689838165090673e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.00612807680522931,-0.03167191148106785,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 07:00:00,0.09647,0.09647,0.09647,0.09647,2422.01544148,0.097121,0.09691373333333334,0.09457488333333335,0.09740993103448273,0.09748528235427792,0.09751636257497001,46.338383838383855,-7.535131979519161e-05,-3.8134692831809506e-05,-3.72166269633821e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.008632206350837501,-0.03167191148106785,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 08:00:00,0.09563,0.09563,0.09563,0.09563,4409.8775034,0.097121,0.09691373333333334,0.09457488333333335,0.09692633013384573,0.09705503472402527,0.097108317121077,46.338383838383855,-0.0001287045901795375,-6.50771896629994e-05,-6.36274005165381e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.00870737016689116,-0.03167191148106785,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 09:00:00,0.09539,0.09539,0.09539,0.09539,2263.8581217,0.097121,0.09691373333333334,0.09457488333333335,0.0965529210852932,0.09672154154864356,0.09679254471028315,46.338383838383855,-0.0001686204633503524,-9.314317372692325e-05,-7.547728962342916e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.0025096726968525385,-0.03167191148106785,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 10:00:00,0.09515,0.09515,0.09515,0.09515,117.83874,0.097121,0.09691373333333334,0.09457488333333335,0.09623986415355636,0.09644205103087272,0.09652881912737084,46.338383838383855,-0.00020218687731636542,-0.00012073922608410945,-8.144765123225597e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.0025159870007338547,-0.028189153304054693,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 11:00:00,0.09581,0.09581,0.09505,0.09505,17670.92451675,0.097121,0.09691373333333334,0.09457488333333335,0.09599155784421162,0.0962177571171052,0.09631707495613524,46.338383838383855,-0.0002261992728935791,-0.00014608325850904482,-8.011601438453428e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,-0.0010509721492381052,-0.02322474565820576,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 12:00:00,0.09615000000000001,0.09615000000000001,0.09577,0.09577,9127.280473375,0.097121,0.09691373333333334,0.09457488333333335,0.09594772581672396,0.09615138968276642,0.09624611940421354,46.338383838383855,-0.0002036638660424528,-0.00015938466450812907,-4.427920153432372e-05,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,0.0075749605470805115,-0.007256141805742744,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
2026-02-07 13:00:00,0.09649,0.09649,0.09649,0.09649,583.63643,0.097121,0.09691373333333334,0.09457488333333335,0.09605048656370295,0.0961981146109561,0.09627512604413045,46.338383838383855,-0.0001476280472531566,-0.0001567504997723202,9.122452519163605e-06,0.097121,0.0012432635322112233,0.09960752706442244,0.09463447293557756,0.05120472533072028,0.0008660714285714323,25060.47292613,0.003596074992903847,0.007518011903518973,0.008992993830387874,-0.0024399999999999977,0.0012432635322112233,0.012729226294780622,0.0,0.0,0.0,0.0,0.0,0.09505,0.10018
